207388,15673,Canadian Fuels Association,Association canadienne des carburants,2012-01-13,207388,Associate Assistant Deputy Minister,null,Environment Canada;
212210,15673,Canadian Fuels Association,Association canadienne des carburants,2012-02-07,212210,Associate Assistant Deputy Minister,null,Environment Canada;
212212,15673,Canadian Fuels Association,Association canadienne des carburants,2012-02-14,212212,Associate Assistant Deputy Minister,null,Environment Canada;
212214,15673,Canadian Fuels Association,Association canadienne des carburants,2012-02-28,212214,Associate Assistant Deputy Minister,null,Environment Canada;
213967,15673,Canadian Fuels Association,Association canadienne des carburants,2011-09-16,213967,Associate Deputy Minister,null,Environment Canada;
218409,15673,Canadian Fuels Association,Association canadienne des carburants,2012-03-02,218409,Associate ADM,null,Environment Canada;
218411,15673,Canadian Fuels Association,Association canadienne des carburants,2012-03-06,218411,Director Policy,null,Environment Canada;
218412,15673,Canadian Fuels Association,Association canadienne des carburants,2012-03-09,218412,Associate ADM,null,Environment Canada;
218413,15673,Canadian Fuels Association,Association canadienne des carburants,2012-03-12,218413,Policy Advisor,null,Prime Minister's Office (PMO);
218413,15673,Canadian Fuels Association,Association canadienne des carburants,2012-03-12,218413,Policy Advisor,null,Prime Minister's Office (PMO),218413,Advisor,null,Prime Minister's Office (PMO);
218415,15673,Canadian Fuels Association,Association canadienne des carburants,2012-03-22,218415,Associate ADM,null,Environment Canada;
222447,15673,Canadian Fuels Association,Association canadienne des carburants,2012-04-19,222447,Assistant Deputy Minister,null,Finance Canada (FIN);
222448,15673,Canadian Fuels Association,Association canadienne des carburants,2012-04-19,222448,Deputy Minister,null,Environment Canada;
222449,15673,Canadian Fuels Association,Association canadienne des carburants,2012-04-23,222449,Associate Assistant Deputy Minister,null,Environment Canada;
222450,15673,Canadian Fuels Association,Association canadienne des carburants,2012-04-24,222450,Associate Assistant Deputy Minister,null,Environment Canada;
222451,15673,Canadian Fuels Association,Association canadienne des carburants,2012-04-25,222451,Associate Assistant Deputy Minister,null,Environment Canada;
227709,15673,Canadian Fuels Association,Association canadienne des carburants,2012-05-11,227709,Associate Deputy Minister,null,Environment Canada;
227710,15673,Canadian Fuels Association,Association canadienne des carburants,2012-05-25,227710,Associate Deputy Minister,null,Environment Canada;
230053,15673,Canadian Fuels Association,Association canadienne des carburants,2012-06-05,230053,Minister,null,Environment Canada;
230053,15673,Canadian Fuels Association,Association canadienne des carburants,2012-06-05,230053,Minister,null,Environment Canada,230053,Deputy Minister,null,Environment Canada;
230053,15673,Canadian Fuels Association,Association canadienne des carburants,2012-06-05,230053,Minister,null,Environment Canada,230053,Deputy Minister,null,Environment Canada,230053,Associate Assistant Deputy Minister,null,Environment Canada;
230053,15673,Canadian Fuels Association,Association canadienne des carburants,2012-06-05,230053,Minister,null,Environment Canada,230053,Deputy Minister,null,Environment Canada,230053,Associate Assistant Deputy Minister,null,Environment Canada,230053,Assistant Deputy Minister,null,Environment Canada;
230053,15673,Canadian Fuels Association,Association canadienne des carburants,2012-06-05,230053,Minister,null,Environment Canada,230053,Deputy Minister,null,Environment Canada,230053,Associate Assistant Deputy Minister,null,Environment Canada,230053,Assistant Deputy Minister,null,Environment Canada,230053,Assistant Secretary,null,Treasury Board Of Canada Secretariat (TBS);
230053,15673,Canadian Fuels Association,Association canadienne des carburants,2012-06-05,230053,Minister,null,Environment Canada,230053,Deputy Minister,null,Environment Canada,230053,Associate Assistant Deputy Minister,null,Environment Canada,230053,Assistant Deputy Minister,null,Environment Canada,230053,Assistant Secretary,null,Treasury Board Of Canada Secretariat (TBS),230053,Special Advisor,null,Health Canada (HC);
230053,15673,Canadian Fuels Association,Association canadienne des carburants,2012-06-05,230053,Minister,null,Environment Canada,230053,Deputy Minister,null,Environment Canada,230053,Associate Assistant Deputy Minister,null,Environment Canada,230053,Assistant Deputy Minister,null,Environment Canada,230053,Assistant Secretary,null,Treasury Board Of Canada Secretariat (TBS),230053,Special Advisor,null,Health Canada (HC),230053,Assistant Deputy Minister,null,Environment Canada;
230053,15673,Canadian Fuels Association,Association canadienne des carburants,2012-06-05,230053,Minister,null,Environment Canada,230053,Deputy Minister,null,Environment Canada,230053,Associate Assistant Deputy Minister,null,Environment Canada,230053,Assistant Deputy Minister,null,Environment Canada,230053,Assistant Secretary,null,Treasury Board Of Canada Secretariat (TBS),230053,Special Advisor,null,Health Canada (HC),230053,Assistant Deputy Minister,null,Environment Canada,230053,Member of Parliament,null,House of Commons;
230053,15673,Canadian Fuels Association,Association canadienne des carburants,2012-06-05,230053,Minister,null,Environment Canada,230053,Deputy Minister,null,Environment Canada,230053,Associate Assistant Deputy Minister,null,Environment Canada,230053,Assistant Deputy Minister,null,Environment Canada,230053,Assistant Secretary,null,Treasury Board Of Canada Secretariat (TBS),230053,Special Advisor,null,Health Canada (HC),230053,Assistant Deputy Minister,null,Environment Canada,230053,Member of Parliament,null,House of Commons,230053,Assistant Deputy Minister,null,Environment Canada;
230061,15673,Canadian Fuels Association,Association canadienne des carburants,2012-06-07,230061,Associate Assistant Deputy Minister,null,Environment Canada;
230063,15673,Canadian Fuels Association,Association canadienne des carburants,2012-06-07,230063,Director Policy,null,Environment Canada;
230063,15673,Canadian Fuels Association,Association canadienne des carburants,2012-06-07,230063,Director Policy,null,Environment Canada,230063,Assistant Deputy Minister,null,Environment Canada;
232909,15673,Canadian Fuels Association,Association canadienne des carburants,2012-07-06,232909,Associate ADM,null,Environment Canada;
232911,15673,Canadian Fuels Association,Association canadienne des carburants,2012-07-23,232911,Associate ADM,null,Environment Canada;
232929,15673,Canadian Fuels Association,Association canadienne des carburants,2012-07-19,232929,Minister,null,Environment Canada;
232929,15673,Canadian Fuels Association,Association canadienne des carburants,2012-07-19,232929,Minister,null,Environment Canada,232929,Deputy Minister,null,Environment Canada;
232929,15673,Canadian Fuels Association,Association canadienne des carburants,2012-07-19,232929,Minister,null,Environment Canada,232929,Deputy Minister,null,Environment Canada,232929,Associate ADM,null,Environment Canada;
237810,15673,Canadian Fuels Association,Association canadienne des carburants,2012-08-23,237810,Associate ADM,null,Environment Canada;
241025,15673,Canadian Fuels Association,Association canadienne des carburants,2012-09-06,241025,Minister,null,Human Resources and Skills Development Canada (HRSDC);
